IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.198.163,4,4,0.00,46.76,14.83,NRT
162.159.44.178,4,4,0.00,52.91,14.40,NRT
162.159.39.249,4,4,0.00,54.12,9.74,NRT
162.159.38.126,4,4,0.00,53.45,9.20,NRT
162.159.45.30,4,4,0.00,57.20,0.00,N/A
162.159.42.184,4,4,0.00,66.54,0.00,N/A
162.159.41.50,4,4,0.00,66.63,0.00,N/A
172.64.151.162,4,4,0.00,66.79,0.00,N/A
172.64.37.119,4,4,0.00,67.37,0.00,N/A
172.64.147.83,4,4,0.00,67.54,0.00,N/A
172.64.159.51,4,4,0.00,67.55,0.00,N/A
162.159.7.134,4,4,0.00,68.04,0.00,N/A
173.245.58.132,4,4,0.00,68.07,0.00,N/A
172.64.52.209,4,4,0.00,68.11,0.00,N/A
172.64.42.195,4,4,0.00,68.17,0.00,N/A
162.159.4.164,4,4,0.00,68.37,0.00,N/A
162.159.5.119,4,4,0.00,68.73,0.00,N/A
172.64.154.28,4,4,0.00,68.74,0.00,N/A
172.64.146.27,4,4,0.00,68.92,0.00,N/A
162.159.20.92,4,4,0.00,68.93,0.00,N/A
172.64.36.253,4,4,0.00,69.01,0.00,N/A
108.162.192.118,4,4,0.00,69.16,0.00,N/A
172.64.157.144,4,4,0.00,69.30,0.00,N/A
172.64.34.2,4,4,0.00,69.39,0.00,N/A
162.159.36.35,4,4,0.00,69.57,0.00,N/A
172.64.47.8,4,4,0.00,69.59,0.00,N/A
162.159.11.44,4,4,0.00,69.59,0.00,N/A
198.41.222.159,4,4,0.00,69.68,0.00,N/A
172.64.50.141,4,4,0.00,69.69,0.00,N/A
172.64.38.7,4,4,0.00,69.71,0.00,N/A
162.159.24.93,4,4,0.00,69.74,0.00,N/A
172.64.145.197,4,4,0.00,70.02,0.00,N/A
108.162.193.97,4,4,0.00,70.10,0.00,N/A
172.64.158.116,4,4,0.00,70.21,0.00,N/A
162.159.57.36,4,4,0.00,70.24,0.00,N/A
172.64.41.192,4,4,0.00,70.29,0.00,N/A
162.159.15.156,4,4,0.00,70.34,0.00,N/A
172.64.53.142,4,4,0.00,70.40,0.00,N/A
162.159.13.127,4,4,0.00,70.48,0.00,N/A
172.64.48.35,4,4,0.00,70.60,0.00,N/A
162.159.33.250,4,4,0.00,70.62,0.00,N/A
108.162.196.17,4,4,0.00,70.79,0.00,N/A
162.159.43.54,4,4,0.00,70.92,0.00,N/A
162.159.14.204,4,4,0.00,71.01,0.00,N/A
172.64.156.236,4,4,0.00,71.14,0.00,N/A
172.64.150.18,4,4,0.00,71.17,0.00,N/A
172.64.155.17,4,4,0.00,71.36,0.00,N/A
172.64.144.167,4,4,0.00,71.61,0.00,N/A
162.159.48.30,4,4,0.00,71.74,0.00,N/A
172.64.40.168,4,4,0.00,71.96,0.00,N/A
162.159.56.150,4,4,0.00,72.00,0.00,N/A
162.159.25.192,4,4,0.00,72.01,0.00,N/A
108.162.195.63,4,4,0.00,72.21,0.00,N/A
162.159.32.90,4,4,0.00,72.29,0.00,N/A
162.159.34.117,4,4,0.00,72.39,0.00,N/A
162.159.8.230,4,4,0.00,72.61,0.00,N/A
172.64.32.63,4,4,0.00,72.69,0.00,N/A
173.245.59.221,4,4,0.00,72.73,0.00,N/A
172.64.148.47,4,4,0.00,73.03,0.00,N/A
162.159.61.160,4,4,0.00,73.21,0.00,N/A
162.159.49.38,4,4,0.00,73.24,0.00,N/A
162.159.0.51,4,4,0.00,73.27,0.00,N/A
198.41.211.83,4,4,0.00,73.38,0.00,N/A
162.159.35.217,4,4,0.00,73.41,0.00,N/A
172.64.46.42,4,4,0.00,73.66,0.00,N/A
162.159.2.112,4,4,0.00,73.66,0.00,N/A
172.64.35.10,4,4,0.00,73.70,0.00,N/A
162.159.23.52,4,4,0.00,73.82,0.00,N/A
172.64.152.109,4,4,0.00,74.45,0.00,N/A
162.159.40.42,4,4,0.00,74.48,0.00,N/A
172.64.49.23,4,4,0.00,74.64,0.00,N/A
162.159.16.247,4,4,0.00,74.74,0.00,N/A
162.159.17.251,4,4,0.00,74.74,0.00,N/A
162.159.18.232,4,4,0.00,74.87,0.00,N/A
162.159.26.49,4,4,0.00,74.88,0.00,N/A
172.64.153.19,4,4,0.00,74.92,0.00,N/A
104.18.40.134,4,4,0.00,74.95,0.00,N/A
162.159.62.125,4,4,0.00,74.99,0.00,N/A
162.159.27.141,4,4,0.00,75.05,0.00,N/A
162.159.46.68,4,4,0.00,75.28,0.00,N/A
162.159.60.18,4,4,0.00,75.42,0.00,N/A
162.159.1.228,4,4,0.00,75.56,0.00,N/A
198.41.223.170,4,4,0.00,75.70,0.00,N/A
172.64.149.57,4,4,0.00,75.87,0.00,N/A
162.159.9.252,4,4,0.00,76.04,0.00,N/A
104.18.38.50,4,4,0.00,76.09,0.00,N/A
162.159.51.91,4,4,0.00,76.54,0.00,N/A
104.18.37.218,4,4,0.00,76.60,0.00,N/A
162.159.10.192,4,4,0.00,76.76,0.00,N/A
162.159.3.191,4,4,0.00,76.90,0.00,N/A
104.18.39.167,4,4,0.00,77.10,0.00,N/A
104.18.33.148,4,4,0.00,77.20,0.00,N/A
104.18.32.221,4,4,0.00,77.94,0.00,N/A
162.159.12.227,4,4,0.00,77.96,0.00,N/A
162.159.21.166,4,4,0.00,78.00,0.00,N/A
162.159.22.13,4,4,0.00,78.15,0.00,N/A
162.159.19.107,4,4,0.00,78.52,0.00,N/A
104.18.35.225,4,4,0.00,78.56,0.00,N/A
162.159.50.122,4,4,0.00,78.96,0.00,N/A
104.18.41.96,4,4,0.00,79.16,0.00,N/A
162.159.58.175,4,4,0.00,79.43,0.00,N/A
104.18.36.79,4,4,0.00,79.59,0.00,N/A
104.18.34.74,4,4,0.00,79.82,0.00,N/A
104.18.44.100,4,4,0.00,80.76,0.00,N/A
104.18.47.124,4,4,0.00,82.08,0.00,N/A
104.18.45.40,4,4,0.00,82.20,0.00,N/A
172.64.229.160,4,4,0.00,83.45,0.00,N/A
104.18.46.54,4,4,0.00,84.35,0.00,N/A
104.18.42.106,4,4,0.00,84.49,0.00,N/A
104.18.43.33,4,4,0.00,86.06,0.00,N/A
162.159.198.165,4,4,0.00,133.05,0.00,N/A
104.17.84.146,4,4,0.00,133.35,0.00,N/A
104.16.3.159,4,4,0.00,133.41,0.00,N/A
104.18.90.65,4,4,0.00,133.42,0.00,N/A
104.19.194.164,4,4,0.00,134.09,0.00,N/A
162.159.235.175,4,4,0.00,134.47,0.00,N/A
104.17.16.188,4,4,0.00,135.08,0.00,N/A
104.18.79.173,4,4,0.00,136.59,0.00,N/A
104.18.101.69,4,4,0.00,136.91,0.00,N/A
104.18.14.229,4,4,0.00,137.32,0.00,N/A
104.17.56.234,4,4,0.00,137.36,0.00,N/A
104.17.146.209,4,4,0.00,137.60,0.00,N/A
104.18.96.50,4,4,0.00,138.19,0.00,N/A
104.18.102.181,4,4,0.00,138.69,0.00,N/A
104.17.237.22,4,4,0.00,138.99,0.00,N/A
104.18.132.23,4,4,0.00,139.01,0.00,N/A
104.16.204.207,4,4,0.00,139.07,0.00,N/A
104.17.111.240,4,4,0.00,139.10,0.00,N/A
104.17.209.77,4,4,0.00,139.11,0.00,N/A
104.16.50.79,4,4,0.00,139.20,0.00,N/A
