IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.38.121,4,4,0.00,44.89,0.00,N/A
162.159.45.25,4,4,0.00,54.90,0.00,N/A
162.159.39.197,4,4,0.00,56.51,0.00,N/A
162.159.44.209,4,4,0.00,60.99,0.00,N/A
162.159.41.32,4,4,0.00,66.88,0.00,N/A
162.159.50.135,4,4,0.00,66.90,0.00,N/A
172.64.40.192,4,4,0.00,67.27,0.00,N/A
108.162.198.233,4,4,0.00,67.50,0.00,N/A
162.159.42.245,4,4,0.00,68.59,0.00,N/A
162.159.1.22,4,4,0.00,68.63,0.00,N/A
162.159.21.176,4,4,0.00,68.73,0.00,N/A
172.64.52.1,4,4,0.00,68.93,0.00,N/A
172.64.159.226,4,4,0.00,69.06,0.00,N/A
172.64.152.32,4,4,0.00,69.07,0.00,N/A
172.64.46.51,4,4,0.00,69.08,0.00,N/A
172.64.151.24,4,4,0.00,69.10,0.00,N/A
162.159.32.236,4,4,0.00,69.30,0.00,N/A
172.64.150.131,4,4,0.00,69.32,0.00,N/A
162.159.61.98,4,4,0.00,69.33,0.00,N/A
172.64.53.155,4,4,0.00,69.41,0.00,N/A
